ID,Patrón,Valor de prueba,Resultado esperado,Resultado obtenido,Tipo de caso,Descripción
CP-49,Placa vehicular,ABC12,Inválido,Inválido,Fallido,Solo 5 caracteres (mínimo 6)
CP-50,Placa vehicular,abc123,Inválido,Inválido,Fallido,Letras en minúscula (solo mayúsculas permitidas)
CP-51,Cédula de ciudadanía,1234567890,Válido,Válido,Exitoso,Cédula de 10 dígitos (máximo permitido)
CP-52,Cédula de ciudadanía,987654,Válido,Válido,Exitoso,Cédula de 6 dígitos (mínimo permitido)
CP-53,Cédula de ciudadanía,100000,Válido,Válido,Exitoso,Cédula en el límite inferior del rango
CP-54,Cédula de ciudadanía,9999999999,Válido,Válido,Exitoso,Cédula en el límite superior del rango
CP-55,Cédula de ciudadanía,0123456,Inválido,Inválido,Fallido,Inicia en cero
CP-56,Cédula de ciudadanía,12345,Inválido,Inválido,Fallido,Solo 5 dígitos (mínimo 6)
CP-57,Cédula de ciudadanía,12345678901,Inválido,Inválido,Fallido,11 dígitos (máximo 10)
CP-58,Cédula de ciudadanía,12A456,Inválido,Inválido,Fallido,Contiene letra (solo dígitos permitidos)
CP-59,Cédula de ciudadanía,000000,Inválido,Inválido,Fallido,Inicia en cero (aunque tenga 6 dígitos)
